article_id	start_position	end_position	entity_text	entity_type
80	1303	1305	91	med_exam
82	498	500	九十	med_exam
83	330	334	38.1	med_exam
83	1756	1759	七十五	med_exam
83	2927	2929	15	med_exam
85	38	40	12	med_exam
85	169	171	22	med_exam
85	175	178	1.8	med_exam
85	1098	1101	100	med_exam
85	1102	1105	100	med_exam
85	1106	1109	105	med_exam
85	1113	1116	100	med_exam
85	1117	1120	105	med_exam
85	1151	1154	170	med_exam
85	1155	1158	180	med_exam
85	1204	1207	170	med_exam
85	1208	1211	180	med_exam
85	1236	1239	170	med_exam
85	1262	1265	160	med_exam
85	1278	1281	170	med_exam
85	1334	1337	190	med_exam
85	1354	1357	190	med_exam
85	1366	1369	170	med_exam
88	69	73	0．80	med_exam
88	261	264	141	med_exam
88	296	298	54	med_exam
88	696	698	80	med_exam
88	717	720	126	med_exam
88	732	734	80	med_exam
88	746	750	5601	med_exam
88	767	771	16．4	med_exam
90	421	425	37.2	med_exam
90	1187	1191	10.9	med_exam
91	365	368	110	med_exam
91	372	375	110	med_exam
91	507	510	0.5	med_exam
91	520	523	0.5	med_exam
92	773	778	六百八十二	med_exam
92	783	788	六百八十二	med_exam
92	836	838	七十	med_exam
92	884	887	一百三	med_exam
92	893	896	一百三	med_exam
92	902	905	一百一	med_exam
92	906	909	一百三	med_exam
92	913	916	一百三	med_exam
94	451	454	一百四	med_exam
94	505	508	一百九	med_exam
95	154	156	一百	med_exam
96	52	55	一百五	med_exam
96	505	508	五十幾	med_exam
96	522	525	五十九	med_exam
96	538	541	五十九	med_exam
96	996	999	一百三	med_exam
96	1000	1003	一百三	med_exam
96	1013	1016	一百三	med_exam
96	1310	1313	100	med_exam
96	1314	1317	105	med_exam
96	1321	1324	105	med_exam
99	892	895	5公分	med_exam
99	900	903	5公分	med_exam
100	55	59	0.72	med_exam
100	124	127	兩千七	med_exam
100	2124	2129	1.5公斤	med_exam
100	2167	2169	4公	med_exam
100	2174	2177	4公斤	med_exam
102	151	153	85	med_exam
102	157	160	10萬	med_exam
102	164	167	100	med_exam
102	187	189	85	med_exam
102	247	249	80	med_exam
102	282	284	27	med_exam
102	307	309	30	med_exam
102	322	324	80	med_exam
106	369	372	102	med_exam
107	39	43	2500	med_exam
107	59	63	2800	med_exam
107	85	88	1.0	med_exam
107	93	96	1.0	med_exam
107	99	103	1.87	med_exam
107	122	126	2500	med_exam
110	81	83	95	med_exam
110	235	240	五百二十二	med_exam
110	248	253	五百二十二	med_exam
110	286	289	四百一	med_exam
110	863	867	二比二三	med_exam
111	1549	1553	一百八十	med_exam
117	458	460	20	med_exam
121	482	483	8	med_exam
121	486	489	79分	med_exam
121	496	497	7	med_exam
127	384	385	3	med_exam
128	448	450	10	med_exam
129	251	253	69	med_exam
129	255	257	10	med_exam
129	261	263	10	med_exam
131	389	392	210	med_exam
132	383	384	1	med_exam
132	1284	1287	106	med_exam
135	991	993	一萬	med_exam
135	1000	1002	七千	med_exam
135	1007	1009	七千	med_exam
135	1019	1021	七千	med_exam
137	1984	1985	6	med_exam
137	2070	2073	100	med_exam
138	30	33	31題	med_exam
138	60	62	31	med_exam
138	64	66	32	med_exam
138	91	94	五十幾	med_exam
145	377	379	29	med_exam
145	380	382	29	med_exam
153	53	54	3	med_exam
157	1445	1447	三分	med_exam
